employeenumber,age,gender,maritalstatus,education,educationfield
426,31,Male,Divorced,4,Life Sciences
428,33,Female,Married,4,Life Sciences
429,39,Male,Married,1,Medical
430,43,Female,Single,4,Life Sciences
431,49,Female,Single,2,Technical Degree
433,52,Male,Married,4,Medical
434,27,Female,Single,3,Life Sciences
436,32,Female,Married,2,Technical Degree
437,27,Male,Single,3,Life Sciences
438,31,Male,Divorced,3,Marketing
439,32,Female,Single,4,Medical
440,28,Male,Married,4,Medical
441,30,Female,Married,2,Medical
442,31,Female,Married,2,Life Sciences
444,39,Male,Married,2,Medical
445,39,Female,Married,2,Medical
446,33,Male,Single,3,Marketing
447,47,Male,Married,5,Life Sciences
448,43,Female,Divorced,4,Life Sciences
449,27,Male,Married,1,Marketing
450,54,Female,Single,4,Life Sciences
451,43,Female,Married,3,Life Sciences
452,45,Male,Married,4,Other
453,40,Male,Married,2,Medical
454,29,Male,Married,4,Other
455,29,Male,Single,5,Other
456,30,Female,Divorced,3,Marketing
458,27,Female,Married,4,Marketing
460,37,Male,Divorced,2,Medical
461,38,Male,Divorced,2,Life Sciences
462,31,Female,Single,4,Medical
463,29,Female,Divorced,1,Marketing
464,35,Male,Single,4,Technical Degree
465,23,Male,Divorced,1,Life Sciences
466,41,Male,Single,3,Medical
467,47,Male,Single,1,Medical
468,42,Female,Single,5,Life Sciences
469,29,Male,Married,3,Life Sciences
470,42,Male,Divorced,1,Technical Degree
471,32,Female,Married,3,Medical
473,48,Female,Married,1,Medical
474,37,Male,Divorced,3,Medical
475,30,Female,Married,2,Technical Degree
476,26,Male,Married,3,Life Sciences
477,42,Male,Single,4,Other
478,21,Female,Single,1,Technical Degree
479,36,Female,Single,5,Medical
481,36,Male,Married,4,Medical
482,57,Male,Married,4,Medical
483,40,Female,Married,4,Life Sciences
484,21,Male,Single,2,Medical
485,33,Female,Single,3,Marketing
486,37,Female,Married,3,Medical
487,46,Female,Married,4,Medical
488,41,Male,Single,3,Marketing
491,50,Male,Single,3,Technical Degree
492,40,Male,Married,2,Marketing
493,31,Male,Single,4,Life Sciences
494,21,Female,Single,3,Life Sciences
495,29,Male,Single,3,Life Sciences
496,35,Male,Single,4,Life Sciences
497,27,Male,Divorced,2,Medical
498,28,Male,Single,4,Life Sciences
499,49,Male,Single,3,Other
500,51,Female,Married,2,Life Sciences
501,36,Female,Married,3,Life Sciences
502,34,Male,Single,3,Marketing
505,55,Female,Single,3,Life Sciences
507,24,Female,Divorced,4,Marketing
508,30,Male,Married,1,Technical Degree
510,26,Male,Single,1,Technical Degree
511,22,Female,Married,3,Medical
513,36,Male,Married,2,Medical
514,30,Male,Single,3,Technical Degree
515,37,Female,Divorced,3,Life Sciences
516,40,Female,Divorced,2,Marketing
517,42,Female,Divorced,4,Life Sciences
518,37,Male,Single,4,Life Sciences
520,43,Male,Divorced,3,Life Sciences
521,40,Female,Married,3,Medical
522,54,Male,Married,2,Medical
523,34,Female,Married,4,Marketing
524,31,Female,Married,2,Medical
525,43,Male,Married,3,Medical
526,43,Female,Divorced,4,Other
527,25,Female,Single,2,Life Sciences
529,37,Female,Married,5,Medical
530,31,Male,Married,2,Life Sciences
531,39,Male,Divorced,1,Life Sciences
532,56,Female,Married,3,Life Sciences
533,30,Female,Single,3,Technical Degree
534,41,Male,Married,3,Marketing
536,28,Male,Divorced,2,Medical
538,25,Male,Married,3,Medical
543,52,Male,Married,3,Medical
544,45,Male,Married,2,Life Sciences
546,52,Female,Married,2,Life Sciences
547,42,Female,Divorced,2,Life Sciences
548,30,Female,Single,3,Life Sciences
549,60,Female,Married,3,Life Sciences
550,46,Female,Divorced,3,Medical
551,42,Female,Married,4,Technical Degree
554,24,Female,Single,1,Technical Degree
555,34,Female,Divorced,2,Marketing
556,38,Male,Married,2,Life Sciences
558,40,Female,Married,4,Life Sciences
560,26,Female,Divorced,3,Life Sciences
562,30,Male,Married,3,Life Sciences
564,29,Male,Married,4,Medical
565,29,Female,Married,5,Technical Degree
566,19,Male,Single,2,Technical Degree
567,30,Female,Married,4,Other
568,57,Male,Divorced,3,Marketing
569,50,Male,Married,4,Life Sciences
571,30,Female,Single,3,Medical
573,60,Female,Married,3,Marketing
574,47,Female,Divorced,2,Medical
575,46,Male,Married,3,Life Sciences
577,35,Male,Single,3,Life Sciences
578,54,Female,Single,4,Life Sciences
579,34,Male,Divorced,4,Life Sciences
580,46,Female,Married,3,Marketing
581,31,Male,Divorced,1,Life Sciences
582,33,Male,Married,1,Medical
584,33,Male,Divorced,1,Medical
585,30,Male,Single,1,Marketing
586,35,Male,Married,3,Life Sciences
587,31,Male,Married,3,Life Sciences
590,34,Female,Divorced,3,Human Resources
591,42,Male,Married,2,Other
592,36,Male,Single,4,Medical
593,22,Male,Single,1,Technical Degree
595,48,Female,Married,5,Marketing
597,55,Female,Single,5,Life Sciences
599,41,Male,Single,2,Life Sciences
600,35,Male,Married,3,Marketing
601,40,Female,Single,3,Life Sciences
602,39,Female,Married,1,Life Sciences
604,31,Male,Single,1,Life Sciences
605,42,Male,Married,3,Medical
606,45,Male,Married,3,Other
608,26,Female,Divorced,4,Life Sciences
611,29,Male,Divorced,3,Technical Degree
612,33,Female,Divorced,5,Medical
613,31,Male,Divorced,3,Life Sciences
614,18,Male,Single,3,Marketing
615,40,Male,Divorced,3,Other
616,41,Female,Single,4,Other
618,26,Male,Divorced,2,Medical
620,35,Female,Single,3,Medical
621,34,Male,Single,4,Life Sciences
622,26,Male,Single,3,Technical Degree
623,37,Female,Single,3,Technical Degree
624,46,Female,Married,1,Medical
625,41,Female,Married,5,Life Sciences
626,37,Male,Divorced,4,Medical
630,52,Male,Divorced,2,Technical Degree
631,32,Male,Married,4,Other
632,24,Male,Married,3,Medical
634,38,Female,Married,3,Medical
635,37,Female,Married,4,Life Sciences
638,49,Male,Divorced,4,Life Sciences
639,24,Male,Married,3,Medical
641,26,Male,Married,2,Marketing
643,24,Male,Married,2,Other
644,50,Male,Married,3,Medical
645,25,Male,Married,1,Medical
647,24,Female,Married,3,Life Sciences
648,30,Male,Married,4,Life Sciences
649,34,Male,Married,2,Life Sciences
650,31,Male,Divorced,4,Medical
652,35,Male,Single,2,Other
653,31,Male,Divorced,4,Medical
655,27,Female,Divorced,4,Medical
656,37,Male,Married,3,Marketing
657,20,Female,Single,3,Life Sciences
659,42,Female,Married,4,Life Sciences
661,43,Male,Divorced,4,Other
662,38,Female,Single,1,Life Sciences
663,43,Male,Divorced,5,Medical
664,48,Female,Married,4,Life Sciences
665,44,Female,Single,4,Life Sciences
666,34,Female,Divorced,3,Technical Degree
667,27,Male,Divorced,1,Marketing
669,21,Male,Single,1,Technical Degree
671,44,Male,Married,4,Other
675,22,Male,Married,1,Medical
677,33,Male,Divorced,4,Marketing
679,32,Female,Married,4,Life Sciences
680,30,Female,Divorced,3,Medical
682,53,Female,Single,1,Medical
683,34,Male,Married,5,Life Sciences
684,45,Female,Married,4,Life Sciences
686,26,Female,Married,3,Life Sciences
689,37,Male,Married,3,Other
690,29,Female,Married,2,Medical
691,35,Male,Single,4,Life Sciences
692,33,Male,Divorced,3,Life Sciences
698,54,Male,Married,4,Medical
699,36,Male,Divorced,2,Medical
700,27,Male,Single,4,Medical
701,20,Male,Single,1,Medical
702,33,Male,Single,3,Life Sciences
704,35,Male,Married,3,Life Sciences
705,23,Male,Married,3,Medical
707,25,Male,Married,3,Life Sciences
709,38,Female,Single,4,Marketing
710,29,Male,Divorced,4,Life Sciences
712,48,Male,Married,1,Marketing
714,27,Female,Divorced,1,Medical
715,37,Male,Single,2,Life Sciences
716,50,Male,Married,1,Medical
717,34,Female,Single,3,Medical
720,24,Female,Single,2,Life Sciences
721,39,Female,Single,4,Technical Degree
722,32,Male,Single,3,Marketing
723,50,Male,Married,2,Technical Degree
724,38,Female,Single,4,Life Sciences
725,27,Female,Married,2,Life Sciences
727,32,Female,Single,2,Life Sciences
728,47,Male,Single,4,Marketing
729,40,Male,Married,4,Life Sciences
730,53,Male,Married,3,Life Sciences
731,41,Male,Divorced,4,Human Resources
732,60,Male,Single,4,Marketing
733,27,Male,Divorced,2,Life Sciences
734,41,Male,Married,3,Human Resources
738,50,Male,Married,4,Marketing
741,28,Female,Single,2,Life Sciences
742,36,Female,Married,3,Life Sciences
743,38,Female,Single,3,Life Sciences
744,44,Male,Single,3,Medical
746,47,Female,Divorced,3,Medical
747,30,Male,Divorced,5,Marketing
749,29,Male,Single,3,Life Sciences
752,42,Male,Divorced,3,Medical
754,43,Male,Married,3,Life Sciences
757,34,Female,Single,2,Medical
758,23,Male,Married,1,Medical
760,39,Female,Married,3,Human Resources
762,56,Male,Married,3,Medical
763,40,Female,Single,1,Medical
764,27,Female,Single,3,Medical
766,29,Male,Divorced,3,Marketing
769,53,Male,Single,3,Life Sciences
771,35,Female,Divorced,4,Life Sciences
772,32,Male,Married,4,Life Sciences
773,38,Male,Married,5,Medical
775,34,Female,Divorced,5,Life Sciences
776,52,Male,Married,4,Marketing
780,33,Male,Single,4,Other
781,25,Female,Single,1,Medical
783,45,Male,Single,2,Technical Degree
784,23,Male,Single,1,Medical
785,47,Female,Single,2,Life Sciences
786,34,Male,Single,3,Other
787,55,Male,Married,3,Medical
789,36,Male,Single,4,Life Sciences
791,52,Male,Married,4,Medical
792,26,Female,Divorced,2,Life Sciences
793,29,Female,Married,3,Medical
796,26,Male,Single,3,Technical Degree
797,34,Female,Single,4,Life Sciences
799,54,Female,Divorced,4,Medical
800,27,Male,Married,1,Marketing
802,37,Female,Divorced,1,Life Sciences
803,38,Female,Single,4,Life Sciences
804,34,Female,Single,4,Medical
805,35,Female,Married,4,Life Sciences
806,30,Male,Married,3,Life Sciences
807,40,Female,Married,2,Medical
808,34,Female,Married,2,Life Sciences
809,42,Male,Divorced,3,Life Sciences
811,23,Male,Married,3,Life Sciences
812,24,Male,Divorced,3,Life Sciences
813,52,Female,Married,4,Life Sciences
815,50,Male,Married,3,Medical
816,29,Female,Married,2,Life Sciences
817,33,Male,Married,3,Medical
819,33,Female,Single,3,Marketing
820,47,Female,Married,2,Other
823,36,Female,Married,3,Other
824,29,Male,Married,2,Life Sciences
825,58,Male,Single,4,Life Sciences
826,35,Female,Single,4,Life Sciences
827,42,Female,Married,2,Life Sciences
828,28,Male,Single,4,Medical
829,36,Male,Married,3,Human Resources
830,32,Female,Married,3,Life Sciences
832,40,Male,Single,4,Medical
833,30,Female,Single,3,Medical
834,45,Female,Single,3,Life Sciences
836,42,Male,Married,3,Life Sciences
837,38,Male,Divorced,3,Life Sciences
838,34,Female,Single,4,Life Sciences
840,49,Female,Married,3,Marketing
842,55,Male,Single,1,Medical
843,43,Male,Married,2,Life Sciences
844,27,Male,Divorced,1,Technical Degree
845,35,Male,Single,3,Other
846,28,Female,Married,4,Marketing
847,34,Male,Married,2,Human Resources
848,26,Female,Married,2,Medical
850,27,Male,Married,3,Medical
851,51,Female,Married,4,Marketing
852,44,Male,Single,3,Medical
854,25,Male,Single,1,Medical
855,33,Male,Divorced,3,Medical
856,35,Female,Single,1,Medical
857,36,Male,Married,2,Life Sciences
859,32,Male,Divorced,4,Life Sciences
861,30,Male,Divorced,4,Life Sciences
862,53,Female,Married,2,Marketing
864,45,Male,Divorced,3,Marketing
865,32,Female,Married,2,Medical
867,52,Female,Married,4,Medical
868,37,Male,Divorced,4,Marketing
869,28,Male,Divorced,2,Medical
872,22,Male,Married,2,Life Sciences
874,44,Male,Married,4,Life Sciences
875,42,Male,Single,1,Medical
878,36,Male,Married,3,Life Sciences
879,25,Male,Married,1,Other
880,35,Female,Married,3,Life Sciences
881,35,Female,Divorced,4,Life Sciences
882,32,Male,Divorced,3,Life Sciences
885,25,Male,Married,1,Marketing
887,49,Female,Married,3,Technical Degree
888,24,Male,Married,1,Life Sciences
889,32,Male,Married,2,Life Sciences
893,38,Male,Married,3,Marketing
894,42,Female,Married,3,Life Sciences
895,31,Male,Married,4,Life Sciences
896,29,Female,Divorced,3,Medical
897,53,Male,Married,3,Marketing
899,35,Male,Married,3,Technical Degree
900,37,Female,Married,2,Medical
901,53,Female,Single,4,Life Sciences
902,43,Female,Married,3,Life Sciences
903,47,Female,Married,2,Marketing
904,37,Male,Single,2,Medical
905,50,Male,Divorced,4,Life Sciences
909,39,Female,Married,3,Life Sciences
910,33,Male,Divorced,2,Human Resources
911,32,Male,Single,4,Life Sciences
912,29,Female,Divorced,1,Medical
913,44,Male,Married,2,Life Sciences
916,28,Male,Single,4,Medical
918,58,Male,Divorced,1,Life Sciences
920,43,Female,Divorced,3,Life Sciences
922,20,Female,Single,3,Medical
923,21,Female,Single,1,Other
924,36,Male,Married,1,Life Sciences
925,47,Female,Single,4,Life Sciences
926,22,Female,Married,1,Life Sciences
927,41,Female,Divorced,4,Life Sciences
930,28,Female,Divorced,3,Medical
932,39,Male,Married,3,Medical
933,27,Female,Single,3,Life Sciences
934,34,Male,Divorced,3,Life Sciences
936,42,Female,Single,2,Medical
939,33,Male,Single,4,Other
940,58,Female,Divorced,3,Technical Degree
941,31,Male,Married,4,Life Sciences
942,35,Female,Married,1,Life Sciences
944,49,Female,Married,2,Other
945,48,Male,Married,4,Medical
947,31,Female,Married,2,Marketing
949,36,Male,Single,4,Other
950,38,Female,Married,3,Technical Degree
951,32,Female,Married,3,Life Sciences
952,25,Male,Married,2,Marketing
954,40,Male,Divorced,4,Marketing
956,26,Male,Single,3,Medical
957,41,Male,Single,3,Medical
958,36,Male,Single,4,Medical
959,19,Male,Single,3,Other
960,20,Male,Single,3,Technical Degree
961,31,Female,Married,3,Medical
964,40,Male,Divorced,4,Medical
966,32,Female,Married,4,Medical
967,36,Male,Married,1,Life Sciences
969,33,Female,Single,3,Life Sciences
970,37,Male,Married,4,Life Sciences
972,45,Male,Married,2,Life Sciences
974,29,Female,Married,3,Technical Degree
975,35,Female,Married,3,Medical
976,52,Male,Married,2,Life Sciences
977,58,Male,Single,3,Technical Degree
981,53,Male,Divorced,2,Medical
982,30,Male,Divorced,2,Other
983,38,Female,Single,3,Technical Degree
984,35,Male,Divorced,4,Life Sciences
985,39,Male,Single,5,Life Sciences
986,40,Female,Single,3,Life Sciences
987,47,Male,Divorced,4,Medical
990,36,Male,Divorced,4,Technical Degree
991,31,Male,Single,2,Medical
992,33,Male,Single,3,Life Sciences
994,29,Female,Single,3,Life Sciences
995,33,Female,Single,1,Life Sciences
996,45,Female,Divorced,4,Medical
997,50,Male,Divorced,2,Medical
998,33,Female,Married,4,Other
999,41,Male,Divorced,3,Medical
1001,27,Female,Married,4,Technical Degree
1002,45,Male,Married,2,Life Sciences
1003,47,Female,Single,2,Life Sciences
1004,30,Female,Married,3,Life Sciences
1005,50,Male,Married,3,Life Sciences
1006,38,Male,Married,1,Medical
1007,46,Male,Divorced,2,Medical
1009,24,Female,Divorced,1,Medical
1010,35,Male,Divorced,4,Other
1011,31,Female,Married,1,Life Sciences
1012,18,Male,Single,2,Life Sciences
1013,54,Female,Married,3,Technical Degree
1014,35,Female,Divorced,4,Medical
1015,30,Female,Married,2,Life Sciences
1016,20,Female,Single,3,Medical
1017,30,Female,Single,3,Medical
1018,26,Male,Married,2,Medical
1019,22,Male,Married,1,Life Sciences
1022,48,Male,Single,3,Life Sciences
1024,48,Male,Single,4,Life Sciences
1025,41,Female,Single,2,Medical
1026,39,Female,Married,1,Life Sciences
1027,27,Female,Married,4,Life Sciences
1028,35,Male,Divorced,3,Other
1029,42,Male,Married,2,Marketing
1030,50,Male,Married,3,Life Sciences
1032,59,Female,Single,3,Life Sciences
1033,37,Female,Married,2,Medical
1034,55,Male,Married,4,Medical
1035,41,Female,Divorced,1,Life Sciences
1036,38,Male,Single,4,Life Sciences
1037,26,Male,Single,2,Medical
1038,52,Female,Married,1,Marketing
1039,44,Female,Married,3,Medical
1040,50,Female,Married,3,Life Sciences
1042,36,Female,Single,4,Life Sciences
1043,39,Female,Single,3,Medical
1044,33,Female,Single,1,Life Sciences
1045,45,Female,Married,2,Life Sciences
1046,32,Female,Single,4,Medical
1047,34,Male,Divorced,4,Marketing
1048,59,Male,Married,2,Technical Degree
1049,45,Male,Single,4,Medical
1050,53,Female,Married,3,Marketing
1052,36,Male,Divorced,3,Other
1053,26,Male,Married,3,Life Sciences
1055,34,Female,Married,4,Life Sciences
1056,28,Male,Married,1,Medical
1060,38,Male,Married,4,Other
1061,50,Male,Married,4,Medical
1062,37,Female,Single,3,Other
1066,40,Male,Married,3,Marketing
1068,26,Female,Divorced,1,Medical
1069,46,Male,Divorced,4,Medical
